frame,otsu_my,otsu_cv2,match,white_ratio_fixed128,white_ratio_otsu_frame,white_ratio_otsu_global
136,98,98,1,0.294596,0.312500,0.313003
137,98,98,1,0.293915,0.311930,0.312437
138,97,97,1,0.292616,0.311120,0.311120
139,97,97,1,0.292064,0.310525,0.310525
140,98,98,1,0.292513,0.310475,0.311005
141,97,97,1,0.292691,0.311208,0.311208
142,97,97,1,0.292630,0.311150,0.311150
143,97,97,1,0.291777,0.310396,0.310396
144,97,97,1,0.291084,0.309670,0.309670
145,97,97,1,0.290430,0.308895,0.308895
146,97,97,1,0.289546,0.307946,0.307946
147,97,97,1,0.289012,0.307446,0.307446
148,97,97,1,0.288519,0.306624,0.306624
149,97,97,1,0.286942,0.305008,0.305008
150,97,97,1,0.283773,0.302126,0.302126
151,97,97,1,0.280009,0.298288,0.298288
152,96,96,1,0.275827,0.294644,0.294169
153,96,96,1,0.271979,0.290607,0.290124
154,96,96,1,0.267854,0.286620,0.286130
155,96,96,1,0.264238,0.283120,0.282641
156,96,96,1,0.261745,0.280554,0.280069
157,96,96,1,0.258165,0.276770,0.276255
158,96,96,1,0.250892,0.268844,0.268413
159,96,96,1,0.242487,0.260339,0.259922
160,96,96,1,0.236044,0.253535,0.253104
161,95,95,1,0.231551,0.249695,0.248779
162,95,95,1,0.229071,0.247542,0.246609
163,95,95,1,0.228066,0.246557,0.245655
164,95,95,1,0.227259,0.245726,0.244825
165,95,95,1,0.226157,0.244249,0.243307
166,95,95,1,0.224593,0.242780,0.241876
167,95,95,1,0.223402,0.241722,0.240796
168,95,95,1,0.222742,0.241077,0.240090
169,95,95,1,0.222706,0.241003,0.240072
170,95,95,1,0.222498,0.240878,0.239891
171,95,95,1,0.222402,0.240666,0.239756
172,95,95,1,0.222193,0.240365,0.239485
173,95,95,1,0.222184,0.240344,0.239439
174,95,95,1,0.222102,0.240413,0.239517
175,95,95,1,0.222497,0.240788,0.239894
176,95,95,1,0.223220,0.241407,0.240472
177,95,95,1,0.225020,0.242901,0.242000
178,95,95,1,0.227164,0.245127,0.244316
179,95,95,1,0.229359,0.247427,0.246554
