frame,D_sigma0,H_sigma0,D_sigma5,H_sigma5,D_sigma10,H_sigma10,D_sigma20,H_sigma20,D_sigma40,H_sigma40
61,44100,0.00171779,11695931,0.00346258,23375994,0.00497685,45598390,0.00530961,82529262,0.00624807
62,1189336,0.00369309,12144938,0.00378954,23665927,0.00381366,45781477,0.00483218,82670955,0.00758005
63,1343909,0.00838059,12193867,0.00801119,23689013,0.00675829,45784073,0.00597029,82686171,0.00633970
64,1624522,0.00786941,12286208,0.00667824,23740718,0.00581019,45742038,0.00618634,82547615,0.00616512
65,1364802,0.00712288,12204874,0.00592014,23699238,0.00756752,45740035,0.00648148,82477695,0.00611690
66,1342314,0.00334105,12212978,0.00486015,23696169,0.00540413,45757571,0.00525559,82537357,0.00579572
67,21000,0.00039641,11715036,0.00467303,23391086,0.00464603,45584436,0.00508198,82505696,0.00532890
68,1633058,0.00895351,12305198,0.00571277,23734555,0.00638407,45774069,0.00550926,82495191,0.00623167
69,1455428,0.00427758,12247688,0.00418210,23701465,0.00477913,45769514,0.00550637,82466924,0.00490741
70,1450956,0.00437211,12216412,0.00400945,23673461,0.00510899,45703226,0.00563754,82433654,0.00550733
71,1465241,0.00799479,12219127,0.00629051,23675097,0.00488619,45761325,0.00589892,82502132,0.00548225
72,1446359,0.00826100,12213845,0.00661362,23686026,0.00650463,45760231,0.00596258,82498038,0.00544657
73,43022,0.00063079,11692199,0.00434510,23366767,0.00449942,45592625,0.00619502,82375300,0.00510899
74,1481228,0.00793885,12237198,0.00693383,23697928,0.00558835,45747138,0.00584780,82562138,0.00510513
75,1622688,0.00869599,12312096,0.00514660,23744901,0.00513985,45768933,0.00516590,82481246,0.00633777
76,1372380,0.00498843,12215763,0.00406443,23699768,0.00572531,45699006,0.00481289,82518497,0.00574846
77,1698509,0.00655093,12326256,0.00521219,23765195,0.00733796,45740254,0.00455247,82595119,0.00658951
78,186887433,1.61227141,184551555,1.55497203,182326330,1.36930170,180362321,0.97549190,182078610,0.57396894
79,16403,0.00099055,8234601,0.00294657,16073835,0.00388792,31293590,0.00460166,59784312,0.00456694
80,916048,0.00223765,8547599,0.00336806,16264469,0.00413484,31420468,0.00503472,59837503,0.00515046
81,2140595,0.00278839,9325516,0.00365162,16843972,0.00443480,31778997,0.00394772,59925908,0.00498360
82,1412904,0.00203607,8850322,0.00363329,16452256,0.00453511,31519698,0.00418306,59824035,0.00540027
83,919254,0.00157986,8582008,0.00366223,16282877,0.00338445,31452692,0.00473669,59725708,0.00551794
84,1242529,0.00278453,8751212,0.00432002,16408243,0.00409626,31503694,0.00474633,59822987,0.00415895
85,1634749,0.00194348,9007281,0.00384645,16600874,0.00430845,31612195,0.00422261,59944887,0.00377025
86,2475787,0.00314815,9618289,0.00433063,17076935,0.00407311,31912730,0.00408372,60047307,0.00437500
87,1082189,0.00294946,8660193,0.00402199,16363476,0.00510127,31453999,0.00391879,59838616,0.00582562
88,1824350,0.00306327,9118261,0.00335937,16705163,0.00512731,31645153,0.00371624,59985592,0.00529610
89,1455679,0.00350791,8943819,0.00352720,16561002,0.00469522,31594535,0.00471547,60013926,0.00488619
90,2452449,0.01350887,9297800,0.00788387,16793918,0.00551794,31755295,0.00428819,60013442,0.00496431
91,3175917,0.00525077,10196381,0.00405189,17549993,0.00447049,32271500,0.00482928,60252203,0.00459973
92,3390606,0.00380305,10380010,0.00469715,17725533,0.00467593,32399879,0.00439622,60383642,0.00590085
93,3505098,0.00492670,10452982,0.00477623,17769249,0.00446856,32452912,0.00415220,60406381,0.00635802
94,3690368,0.00312982,10568027,0.00474537,17839567,0.00498167,32466281,0.00486304,60413163,0.00591339
95,4175394,0.00770640,10896160,0.00563947,18101926,0.00696084,32627700,0.00577353,60478399,0.00662326
96,4083751,0.00348090,10850797,0.00431809,18053001,0.00339988,32595335,0.00640914,60446204,0.00440490
97,3647729,0.00283372,10562916,0.00342882,17834279,0.00468750,32491911,0.00562596,60370769,0.00471933
98,3488120,0.00283468,10406008,0.00389853,17747454,0.00427180,32380602,0.00373650,60314280,0.00472126
99,2858127,0.00338638,9930336,0.00428434,17358089,0.00485532,32142617,0.00462288,60123589,0.00519965
100,2155287,0.00345390,9527638,0.00382716,17085608,0.00344232,31990683,0.00429880,60088917,0.00556520
101,2621590,0.00365548,9824128,0.00360436,17300735,0.00462770,32121596,0.00371142,60188100,0.00492477
102,3612818,0.00442419,10526023,0.00434028,17838044,0.00443287,32502261,0.00523437,60469165,0.00521798
103,4375951,0.00453511,11088977,0.00435860,18270098,0.00396123,32758091,0.00485725,60624372,0.00527778
104,4641028,0.00604263,11307865,0.00602141,18474145,0.00545525,32913692,0.00566744,60745990,0.00516397
105,4903400,0.00542921,11530291,0.00581115,18670499,0.00531057,33065244,0.00485340,60878348,0.00666088
106,5486832,0.00882812,11989387,0.00720968,19068123,0.00703897,33434691,0.00748360,61152408,0.00621335
107,6024956,0.00828125,12445646,0.00717978,19480313,0.00711516,33762431,0.00694444,61365583,0.00661073
108,6335296,0.01026427,12640963,0.00962577,19635409,0.01000579,33887327,0.00914062,61523406,0.00864198
109,5894012,0.00818576,12323110,0.00727623,19371437,0.00740162,33757438,0.00723380,61600591,0.00782793
110,5507086,0.00884163,12005348,0.00803241,19144844,0.00809028,33656553,0.00731481,61610260,0.00819059
111,4666024,0.00514371,11386295,0.00647377,18642467,0.00541377,33349835,0.00575424,61472018,0.00614487
112,4830609,0.00706115,11507534,0.00618152,18741314,0.00622975,33461819,0.00683931,61613524,0.00694541
113,4729257,0.00470679,11430314,0.00559221,18717098,0.00566454,33427666,0.00524595,61613123,0.00574267
114,4575474,0.00602045,11273955,0.00679205,18586813,0.00637249,33388913,0.00589892,61627085,0.00583719
115,4280711,0.00464506,11082845,0.00424576,18452343,0.00455826,33288264,0.00464892,61573694,0.00452836
116,5025069,0.00812500,11662922,0.00644290,18946603,0.00590471,33655963,0.00704186,61894980,0.00707176
117,6140412,0.00744020,12571391,0.00790123,19704169,0.00808256,34287441,0.00791377,62284370,0.00824363
118,6436016,0.00992670,12802595,0.00944155,19914554,0.00911458,34473679,0.00907311,62548891,0.00904225
119,5996870,0.00852431,12496115,0.00730228,19698167,0.00720100,34365279,0.00732832,62484733,0.00680073
