frame,D_sigma0,H_sigma0,D_sigma5,H_sigma5,D_sigma10,H_sigma10,D_sigma20,H_sigma20,D_sigma40,H_sigma40
265,2919010,0.00575039,12387188,0.00569541,23187109,0.00623457,44344240,0.00614969,83135429,0.00604745
266,2487190,0.00565876,12192256,0.00600502,23073109,0.00652199,44332604,0.00646412,83112715,0.00603781
267,73328,0.00086998,11546682,0.00581501,22733776,0.00635031,44147154,0.00582079,83114102,0.00608410
268,2415584,0.00577450,12140754,0.00671103,23039204,0.00616609,44288323,0.00528549,83190511,0.00614390
269,4031681,0.00955922,12887026,0.00694444,23501693,0.00738715,44591530,0.00717014,83251974,0.00714217
270,5944626,0.01812211,13624304,0.00857639,23921561,0.00694541,44800264,0.00716339,83452643,0.00687018
271,3649748,0.00601852,12823202,0.00649788,23461860,0.00633584,44563620,0.00655864,83353716,0.00729552
272,58040,0.00061053,11551432,0.00590278,22712096,0.00510802,44194494,0.00609471,83235048,0.00568673
273,4840993,0.00852431,13399724,0.00562018,23822475,0.00584684,44795531,0.00693673,83458618,0.00631366
274,4841534,0.01029707,13250445,0.00676890,23737823,0.00692226,44716908,0.00740162,83481421,0.00559028
275,6437257,0.01119213,14447122,0.00631848,24582487,0.00624614,45214748,0.00721836,83843046,0.00662712
276,7632216,0.00985532,15340181,0.00710648,25212661,0.00706790,45651084,0.00709491,84054601,0.00690683
277,90369,0.00139178,11552262,0.00608796,22743978,0.00697627,44235921,0.00579379,83298051,0.00639468
278,8347570,0.00941647,15875358,0.00719329,25616551,0.00598958,45902278,0.00604938,84207741,0.00572338
279,8259834,0.00621624,15852602,0.00671103,25609998,0.00591725,45851040,0.00532793,84244179,0.00606481
280,8366678,0.00853684,15891395,0.00600791,25664858,0.00664834,45939119,0.00524788,84172601,0.00701003
281,8282834,0.01096065,15792868,0.00782022,25570086,0.00766397,45871772,0.00621335,84186161,0.00604938
282,101777,0.00107735,11564847,0.00563272,22758979,0.00540895,44285579,0.00568383,83370202,0.00565490
283,11222084,0.00858989,18190948,0.00651524,27463162,0.00632041,47162554,0.00632234,84967561,0.00606481
284,12134190,0.00873939,18939244,0.00690297,28075376,0.00581211,47660468,0.00704282,85247351,0.00656250
285,11332067,0.01300154,18231667,0.00706983,27508916,0.00590567,47206085,0.00760513,85075712,0.00766397
286,10728615,0.01309414,17703931,0.00835455,27093770,0.00742188,46924940,0.00788194,84940948,0.00720486
287,122464,0.00146798,11569331,0.00505883,22790443,0.00582465,44336167,0.00704765,83504223,0.00587770
288,9028925,0.01418210,16264742,0.00909240,25942341,0.00775752,46188736,0.00771991,84478585,0.00740451
289,8202661,0.00656346,15834246,0.00543113,25608968,0.00557967,45989829,0.00648245,84288007,0.00626543
290,8047032,0.00629823,15655357,0.00530382,25481228,0.00625289,45878630,0.00678337,84280067,0.00585937
291,7711108,0.00769483,15357265,0.00618731,25256829,0.00665413,45743005,0.00613040,84260960,0.00615548
292,108027,0.00111593,11579612,0.00492188,22802931,0.00654321,44365823,0.00585552,83523264,0.00565779
293,9640745,0.00888117,16876074,0.00706694,26417028,0.00805363,46511187,0.00522280,84706046,0.00675058
294,10109563,0.00839120,17314947,0.00506462,26815404,0.00668596,46759316,0.00711709,84919857,0.00576678
295,8167109,0.00907022,15764672,0.00641300,25579962,0.00723283,45993233,0.00691358,84374508,0.00531636
296,5704523,0.01069830,13892951,0.00761188,24184184,0.00719907,45130716,0.00710745,84012741,0.00606192
297,101770,0.00126254,11587382,0.00618538,22815709,0.00423032,44365013,0.00668306,83607910,0.00564333
298,4736541,0.01078318,13301209,0.00692901,23809066,0.00671296,44896150,0.00699267,83951701,0.00634934
299,5380631,0.01326678,13629937,0.00722319,24033700,0.00652392,45046703,0.00683642,84080149,0.00679012
300,6925705,0.03090567,14150831,0.01866030,24333719,0.01565779,45243684,0.01259163,84113703,0.01198592
301,5049608,0.00894772,13582445,0.00732157,24045340,0.00701196,45096404,0.00769676,84151524,0.00762635
302,57411,0.00095197,11594147,0.00520737,22861634,0.00574460,44431064,0.00575810,83766693,0.00533854
303,5770453,0.00942998,13967195,0.00744309,24285940,0.00476466,45285514,0.00700521,84146035,0.00600502
304,6035152,0.01205826,14120101,0.00761188,24397979,0.00698978,45319557,0.00697820,84216607,0.00819252
305,5713989,0.01206115,13866267,0.00936825,24185984,0.00839892,45257286,0.00718750,84206429,0.00697724
306,5815940,0.00659915,14027099,0.00672840,24342666,0.00655864,45308577,0.00548900,84220423,0.00617477
307,115913,0.00121528,11599946,0.00651620,22869169,0.00489873,44509758,0.00507812,83850929,0.00442419
308,6416128,0.00987751,14395469,0.00696759,24584977,0.00700617,45474074,0.00609279,84285263,0.00541667
309,5964952,0.00876157,14135249,0.00682099,24431838,0.00669078,45384715,0.00653260,84303160,0.00620853
310,5744845,0.01334587,13886206,0.00726466,24260992,0.00805459,45333755,0.00741223,84248658,0.00681231
311,5732501,0.01076968,13926965,0.00709780,24281347,0.00734086,45380707,0.00663870,84279863,0.00612076
312,118416,0.00100694,11616167,0.00553048,22886025,0.00567998,44567409,0.00603492,83823601,0.00699267
313,7163658,0.00958430,14975408,0.00638889,25065851,0.00617091,45838226,0.00620274,84504759,0.00705150
314,8449404,0.01379823,15876210,0.00944348,25724979,0.00707948,46207204,0.00673032,84809639,0.00628279
315,8242311,0.01139853,15690137,0.00833623,25576962,0.00708719,46157813,0.00682099,84660663,0.00687018
316,7723276,0.01480999,15252921,0.00965278,25232970,0.00845197,45882682,0.00729456,84549780,0.00755208
317,163464,0.00126254,11618613,0.00477045,22905338,0.00600405,44512399,0.00690779,83831290,0.00561921
318,8924620,0.00983603,16319423,0.00718750,26114078,0.00640046,46410391,0.00691551,84803452,0.00643615
319,9922922,0.01236786,17089625,0.00775174,26696823,0.00751929,46851031,0.00653742,85072116,0.00543596
320,9113313,0.00919657,16479724,0.00581597,26225849,0.00652874,46568281,0.00674093,84937543,0.00706983
321,7069361,0.01265529,14834730,0.00906443,24931728,0.01009452,45754185,0.00743152,84498795,0.00745274
