task,baseline_task,baseline_source,baseline_sha256,baseline_serialized_size,baseline_valid,baseline_preflight_ok,baseline_known_right,baseline_known_wrong,baseline_known_skipped,baseline_known_errors,baseline_known_total_seen,baseline_memory,baseline_params,baseline_cost,baseline_score,baseline_node_count,baseline_initializer_count,baseline_error,baseline_warnings,candidate_task,candidate_source,candidate_sha256,candidate_serialized_size,candidate_valid,candidate_preflight_ok,candidate_known_right,candidate_known_wrong,candidate_known_skipped,candidate_known_errors,candidate_known_total_seen,candidate_memory,candidate_params,candidate_cost,candidate_score,candidate_node_count,candidate_initializer_count,candidate_error,candidate_warnings,differential,cost_reduction,projected_gain,verdict,reasons
107,107,baseline,a7b3bfe7b6b188e7086dd7cf0826268e91cd85c70f55b92fb8b46d7f37e74664,4978,True,True,266,0,0,0,266,470,274,744,18.38795896516691,40,26,,[],107,candidate,b47fbb5396e88ce90d2bfecc98ea3e62b303a1cd51784a92b20f6ff7a961a071,5029,True,True,266,0,0,0,266,470,238,708,18.43755590630628,40,28,,[],,36,0.04959694113937019,ACCEPT_KNOWN_ONLY,[]
137,137,baseline,d372d306d042c26f609ad9f21bc96dc25da9f40f073aa6ad912df6cac62c36a2,2061,True,True,266,0,0,0,266,196,64,260,19.439318368984473,25,6,,[],137,candidate,c277b0fe51ab29ec6ec6334a1f486f342c5490bc97981fe18c12a294dd79302f,2098,True,True,266,0,0,0,266,196,62,258,19.447040415078384,25,6,,[],,2,0.007722046093910251,ACCEPT_KNOWN_ONLY,[]
168,168,baseline,a0bc919498a2beaab5da25248d589bd8c2f5f53549036fda634a3e9bf7fb4941,1463299,True,True,265,0,0,0,265,240,192,432,18.93157441175589,19,16,,[],168,candidate,dcf6a0cc845c4363197195dcf72e64f89e45116eacdc08ac767cfc0076f845f4,4045,True,True,265,0,0,0,265,237,179,416,18.969314739738735,54,17,,[],,16,0.037740327982845656,ACCEPT_KNOWN_ONLY,[]
185,185,baseline,9ce90f954e19a92e11f28363f96b21ca4738587439e646def475452c7432f203,193732,True,True,267,0,0,0,267,216,68,284,19.351025761838795,36,8,,[],185,candidate,b9cdf53f270874779b816741c0562222876bf8d33eb0e7a268702ff8a9b1c910,194167,True,True,267,0,0,0,267,219,60,279,19.368788218178636,39,10,,"[""IR version is 13; competition baseline often uses 10""]",,5,0.017762456339841748,ACCEPT_KNOWN_ONLY,[]
204,204,baseline,3eb32f63b04097c4529dd79bc79e2eb8c64ccff453e8ee3313db98acac1e8dc9,8188,True,True,268,0,0,0,268,2424,136,2560,17.152237462526394,71,11,,[],204,candidate,6e21b4c6a53d3f8a56d165e4a2e29dcc12aba66c77759e5e56ab032dff12bb3f,8188,True,True,268,0,0,0,268,2408,136,2544,17.158507075539987,71,11,,[],,16,0.0062696130135933,ACCEPT_KNOWN_ONLY,[]
270,270,baseline,5971f13f7c8597c8f16c9ab6009751bf659ba68b45c08ae66e0c4c8e1c860b4d,2819,True,True,266,0,0,0,266,408,200,608,18.589825118033833,50,9,,[],270,candidate,f2a877344c1a3c43672303ed32a90c47a7007b336bd32008fd85221053e6d78f,4897,True,True,266,0,0,0,266,404,191,595,18.61143859445437,59,10,,[],,13,0.021613476420537125,ACCEPT_KNOWN_ONLY,[]
279,279,baseline,6454557680c0453163653ed40c53c95e9fa83ef8368f91a50941d9cf89afba7b,19192,True,True,266,0,0,0,266,392,12,404,18.99858512203885,211,3,,[],279,candidate,d3bb22792a3e44e09d21971f88642622a32d161f3a7888f9d0e9efe5862d0a9b,18799,True,True,266,0,0,0,266,385,12,397,19.01606371931281,207,3,,[],,7,0.017478597273960617,ACCEPT_KNOWN_ONLY,[]
324,324,baseline,e33ea69907733e417fb0c42b105b3f187f9ae65f49a29df03f7b75a9aa2f5c62,3711,True,True,266,0,0,0,266,227,215,442,18.9086901179223,22,14,,"[""IR version is 9; competition baseline often uses 10""]",324,candidate,894be3a6ae4d93ce52a5bb0ec8b03fe3443de74b746cff7529dc4989cd73ac08,3889,True,True,266,0,0,0,266,227,212,439,18.91550058692483,22,13,,"[""IR version is 9; competition baseline often uses 10""]",,3,0.006810469002527242,ACCEPT_KNOWN_ONLY,[]
344,344,baseline,eb7471267bd9883d097cf20bfcfd3fbc40e46bfc3acc6d834bb85a1630df99a8,1928,True,True,266,0,0,0,266,0,401,401,19.00603857269343,1,7,,[],344,candidate,d0902dc6498525c5f62f12fc02e25fe7914afbae4a583fd77b71f8f05f08019f,1193,True,True,266,0,0,0,266,0,197,197,19.716796271262012,1,5,,"[""IR version is 7; competition baseline often uses 10""]",,204,0.7107576985685817,ACCEPT_KNOWN_ONLY,[]
