rank,task,hash,cost,score,archetype
329,task180,75b8110e,210,19.6529,random_pixels
330,task003,017c7c7b,203,19.6868,all_pixels
331,task026,1b2d62fb,200,19.7017,grid_intersect|random_pixels
332,task135,5bd6f4ac,200,19.7017,
333,task261,a79310a0,200,19.7017,random_pixels
334,task322,d037b0a7,200,19.7017,
335,task334,d4469b4b,197,19.7168,all_pixels
336,task236,99b1bc43,193,19.7373,random_pixels
337,task313,caa06a1f,192,19.7425,
338,task082,3ac3eb23,190,19.7530,
339,task376,eb281b96,186,19.7743,
340,task142,62c24649,180,19.8070,
341,task152,67e8384a,180,19.8070,
342,task386,f2829549,180,19.8070,random_pixels
343,task235,995c5fa3,170,19.8642,
344,task028,1bfc4729,168,19.8760,
345,task258,a699fb00,160,19.9248,
346,task391,f8b3ba0a,159,19.9311,
347,task150,67a3c6ac,158,19.9374,
348,task155,68b16354,158,19.9374,
349,task248,a3df8b1e,151,19.9827,bounce
350,task047,23581191,150,19.9894,
351,task167,6e02f1e3,148,20.0028,
352,task317,ce22a75a,146,20.0164,random_pixels
353,task006,0520fde7,144,20.0302,grid_intersect|random_pixels
354,task393,f8ff0b80,144,20.0302,continuous_creature|overlaps
355,task395,fafffa47,144,20.0302,random_pixels
356,task347,dae9d2b5,141,20.0512,random_pixels
357,task339,d631b094,140,20.0584,all_pixels
358,task389,f76d97a5,140,20.0584,all_pixels
359,task149,6773b310,136,20.0873,all_pixels|hollywood_squares
360,task298,bda2d7a6,135,20.0947,
361,task007,05269061,127,20.1558,
362,task024,178fcbfb,110,20.2995,
363,task262,a85d4709,106,20.3366,
364,task144,6430c8c4,104,20.3556,random_pixels
365,task227,94f9d214,100,20.3948,random_pixels
366,task314,cbded52d,100,20.3948,
367,task318,ce4f8723,100,20.3948,random_pixels
368,task380,ed36ccf7,99,20.4049,all_pixels
369,task087,3c9b0459,90,20.5002,
370,task129,5582e5ca,76,20.6693,all_pixels
371,task291,b9b7f026,68,20.7805,overlaps
372,task373,e9afcf9a,60,20.9057,
373,task186,794b24be,59,20.9225,all_pixels
374,task399,ff28f65a,59,20.9225,
375,task103,44f52bb0,55,20.9927,all_pixels
376,task299,bdad9b1f,50,21.0880,flip_horiz
377,task067,2dee498d,47,21.1499,
378,task073,3618c87e,40,21.3111,
379,task056,27a28665,35,21.4447,
380,task053,25ff71a9,30,21.5988,all_pixels
381,task113,496994bd,30,21.5988,
382,task116,4c4377d9,30,21.5988,random_pixels
383,task130,5614dbcf,30,21.5988,all_pixels
384,task164,6d0aefbc,30,21.5988,
385,task172,6fa7a44f,30,21.5988,
386,task210,8be77c9e,30,21.5988,random_pixels
387,task311,c9e6f938,30,21.5988,random_pixels
388,task326,d10ecb37,30,21.5988,
389,task385,f25ffba3,30,21.5988,flip_horiz
390,task166,6d75e8bb,24,21.8219,flip_horiz|transpose
391,task312,c9f8e694,20,22.0043,overlaps
392,task016,0d3d703e,10,22.6974,
393,task276,b1948b0a,10,22.6974,random_pixels
394,task309,c8f0f002,10,22.6974,
395,task337,d511f180,10,22.6974,
396,task140,6150a2bd,5,23.3906,
397,task223,9172f3a0,5,23.3906,all_pixels|grid_enhance
398,task307,c59eb873,5,23.3906,grid_enhance|random_pixels
399,task179,74dd1130,1,25.0000,transpose
400,task241,9dfd6313,1,25.0000,
