rank,task,hash,cost,score,archetype
284,task095,4258a5f9,72,20.7233,overlaps
285,task007,05269061,70,20.7515,
286,task032,1e0a9b12,70,20.7515,
287,task041,22168020,70,20.7515,
288,task215,8eb1be9a,70,20.7515,conway_sprite|draw
289,task375,ea786f4a,68,20.7805,
290,task070,32597951,52,21.0488,all_pixels
291,task211,8d5021e8,66,20.8103,random_pixels
292,task120,50cb2852,64,20.8411,overlaps
293,task231,963e52fc,64,20.8411,draw
294,task235,995c5fa3,64,20.8411,
295,task258,a699fb00,64,20.8411,
296,task292,ba26e723,64,20.8411,
297,task022,137eaa0f,63,20.8569,
298,task181,760b3cac,63,20.8569,connected|conway_sprite|flip_horiz
299,task104,4522001f,61,20.8891,
300,task294,bb43febb,61,20.8891,apply_gravity
301,task128,5521c0d9,60,20.9057,overlaps
302,task142,62c24649,60,20.9057,
303,task152,67e8384a,60,20.9057,
304,task203,85c4e7cd,60,20.9057,
305,task236,99b1bc43,60,20.9057,random_pixels
306,task380,ed36ccf7,60,20.9057,all_pixels
307,task242,9ecd008a,58,20.9396,
308,task298,bda2d7a6,58,20.9396,
309,task026,1b2d62fb,57,20.9569,grid_intersect|random_pixels
310,task261,a79310a0,57,20.9569,random_pixels
311,task351,dc0a314f,57,20.9569,
312,task274,b0c4d837,55,20.9927,
313,task317,ce22a75a,55,20.9927,random_pixels
314,task100,445eab21,54,21.0110,transpose
315,task339,d631b094,53,21.0297,all_pixels
316,task126,54d82841,52,21.0488,
317,task021,1190e5a7,51,21.0682,
318,task139,60b61512,50,21.0880,conway_sprite|diagonally_connected|transpose_inverted
319,task171,6f8cd79b,50,21.0880,
320,task346,d9fac9be,50,21.0880,random_pixels
321,task144,6430c8c4,49,21.1082,random_pixels
322,task227,94f9d214,49,21.1082,random_pixels
323,task318,ce4f8723,49,21.1082,random_pixels
324,task332,d406998b,49,21.1082,
325,task202,855e0971,20,22.0043,transpose
326,task188,7b7f7511,46,21.1714,
327,task006,0520fde7,45,21.1933,grid_intersect|random_pixels
328,task010,08ed6ac7,44,21.2158,
329,task334,d4469b4b,43,21.2388,all_pixels
330,task254,a61f2674,42,21.2623,
331,task039,2013d3e2,42,21.2623,
332,task244,9f236235,41,21.2864,create_linegrid|flip_horiz|random_pixels
333,task249,a416b8f3,41,21.2864,random_pixels
334,task347,dae9d2b5,41,21.2864,random_pixels
335,task386,f2829549,41,21.2864,random_pixels
336,task146,662c240a,40,21.3111,
337,task229,9565186b,40,21.3111,square_with_unique_max_color
338,task291,b9b7f026,40,21.3111,overlaps
339,task303,c1d99e64,39,21.3364,
340,task098,4347f46a,37,21.3891,overlaps
341,task395,fafffa47,35,21.4447,random_pixels
342,task167,6e02f1e3,34,21.4736,
343,task289,b91ae062,32,21.5343,all_pixels|grid_enhance
344,task038,1fad071e,31,21.5660,get_pixel|overlaps
345,task262,a85d4709,31,21.5660,
346,task269,ac0a08a4,31,21.5660,all_pixels|grid_enhance
347,task267,aabf363d,30,21.5988,continuous_creature
348,task024,178fcbfb,30,21.5988,
349,task113,496994bd,30,21.5988,
350,task385,f25ffba3,30,21.5988,flip_horiz
351,task389,f76d97a5,30,21.5988,all_pixels
352,task296,bc1d5164,28,21.6678,random_pixels
353,task399,ff28f65a,25,21.7811,
354,task359,e26a3af2,24,21.8219,random_pixels|transpose
355,task110,484b58aa,24,21.8219,
356,task186,794b24be,24,21.8219,all_pixels
357,task293,ba97ae07,24,21.8219,
358,task116,4c4377d9,23,21.8645,random_pixels
359,task056,27a28665,21,21.9555,
360,task082,3ac3eb23,21,21.9555,
361,task150,67a3c6ac,21,21.9555,
362,task155,68b16354,21,21.9555,
363,task063,2bee17df,20,22.0043,transpose
364,task043,2281f1f4,20,22.0043,
365,task045,22eb0ac0,20,22.0043,
366,task047,23581191,20,22.0043,
367,task052,25d8a9c8,20,22.0043,
368,task166,6d75e8bb,20,22.0043,flip_horiz|transpose
369,task299,bdad9b1f,20,22.0043,flip_horiz
370,task322,d037b0a7,20,22.0043,
371,task314,cbded52d,19,22.0556,
372,task164,6d0aefbc,16,22.2274,
373,task172,6fa7a44f,16,22.2274,
374,task210,8be77c9e,16,22.2274,random_pixels
375,task311,c9e6f938,16,22.2274,random_pixels
376,task103,44f52bb0,15,22.2919,all_pixels
377,task372,e98196ab,13,22.4351,random_pixels
378,task073,3618c87e,12,22.5151,
379,task130,5614dbcf,11,22.6021,all_pixels
