task,baseline_task,baseline_source,baseline_sha256,baseline_serialized_size,baseline_valid,baseline_preflight_ok,baseline_known_right,baseline_known_wrong,baseline_known_skipped,baseline_known_errors,baseline_known_total_seen,baseline_memory,baseline_params,baseline_cost,baseline_score,baseline_node_count,baseline_initializer_count,baseline_error,baseline_warnings,candidate_task,candidate_source,candidate_sha256,candidate_serialized_size,candidate_valid,candidate_preflight_ok,candidate_known_right,candidate_known_wrong,candidate_known_skipped,candidate_known_errors,candidate_known_total_seen,candidate_memory,candidate_params,candidate_cost,candidate_score,candidate_node_count,candidate_initializer_count,candidate_error,candidate_warnings,differential,cost_reduction,projected_gain,verdict,reasons
168,168,baseline,a0bc919498a2beaab5da25248d589bd8c2f5f53549036fda634a3e9bf7fb4941,1463299,True,True,265,0,0,0,265,240,192,432,18.93157441175589,19,16,,[],168,candidate,dcf6a0cc845c4363197195dcf72e64f89e45116eacdc08ac767cfc0076f845f4,4045,True,True,265,0,0,0,265,237,179,416,18.969314739738735,54,17,,[],,16,0.037740327982845656,ACCEPT_KNOWN_ONLY,[]
344,344,baseline,eb7471267bd9883d097cf20bfcfd3fbc40e46bfc3acc6d834bb85a1630df99a8,1928,True,True,266,0,0,0,266,0,401,401,19.00603857269343,1,7,,[],344,candidate,d0902dc6498525c5f62f12fc02e25fe7914afbae4a583fd77b71f8f05f08019f,1193,True,True,266,0,0,0,266,0,197,197,19.716796271262012,1,5,,"[""IR version is 7; competition baseline often uses 10""]",,204,0.7107576985685817,ACCEPT_KNOWN_ONLY,[]
