hash,bucket,count
add,0,285
add,1,299
add,2,305
add,3,270
add,4,313
add,5,297
add,6,305
add,7,288
add,8,301
add,9,278
add,10,306
add,11,329
add,12,305
add,13,271
add,14,308
add,15,258
add,16,282
djb2,0,316
djb2,1,325
djb2,2,319
djb2,3,288
djb2,4,264
djb2,5,300
djb2,6,277
djb2,7,297
djb2,8,284
djb2,9,299
djb2,10,292
djb2,11,283
djb2,12,268
djb2,13,307
djb2,14,310
djb2,15,295
djb2,16,276
fnv1a,0,258
fnv1a,1,304
fnv1a,2,288
fnv1a,3,302
fnv1a,4,277
fnv1a,5,289
fnv1a,6,315
fnv1a,7,296
fnv1a,8,268
fnv1a,9,307
fnv1a,10,313
fnv1a,11,277
fnv1a,12,306
fnv1a,13,299
fnv1a,14,309
fnv1a,15,287
fnv1a,16,305
stdhash,0,310
stdhash,1,302
stdhash,2,321
stdhash,3,291
stdhash,4,284
stdhash,5,302
stdhash,6,267
stdhash,7,279
stdhash,8,292
stdhash,9,295
stdhash,10,319
stdhash,11,275
stdhash,12,275
stdhash,13,299
stdhash,14,297
stdhash,15,297
stdhash,16,295
