kind,i,value_ns
sample,147300,83
sample,147400,42
spike,147472,1129709
sample,147500,42
sample,147600,0
sample,147700,125
sample,147800,41
sample,147900,42
sample,148000,42
cumavg,148000,471
sample,148100,0
sample,148200,0
sample,148300,0
sample,148400,42
sample,148500,42
sample,148600,0
sample,148700,41
sample,148800,84
sample,148900,41
sample,149000,0
cumavg,149000,469
sample,149100,42
sample,149200,83
sample,149300,42
sample,149400,42
sample,149500,0
sample,149600,125
sample,149700,42
sample,149800,0
sample,149900,41
sample,150000,83
cumavg,150000,466
sample,150100,42
sample,150200,42
sample,150300,42
sample,150400,42
sample,150500,42
sample,150600,42
sample,150700,42
sample,150800,0
sample,150900,125
sample,151000,125
cumavg,151000,463
sample,151100,125
sample,151200,167
sample,151300,84
sample,151400,125
sample,151500,84
sample,151600,125
sample,151700,42
sample,151800,83
sample,151900,41
sample,152000,83
cumavg,152000,461
sample,152100,125
sample,152200,125
sample,152300,208
sample,152400,125
sample,152500,125
sample,152600,125
sample,152700,125
sample,152800,84
sample,152900,167
sample,153000,42
cumavg,153000,459
sample,153100,0
sample,153200,125
sample,153300,41
sample,153400,42
sample,153500,0
sample,153600,15875
sample,153700,42
sample,153800,83
sample,153900,42
sample,154000,42
cumavg,154000,456
sample,154100,41
sample,154200,125
sample,154300,125
spike,154348,532625
sample,154400,125
sample,154500,125
sample,154600,125
sample,154700,84
sample,154800,83
sample,154900,83
sample,155000,83
cumavg,155000,458
sample,155100,208
sample,155200,125
sample,155300,83
sample,155400,125
sample,155500,125
sample,155600,125
sample,155700,125
sample,155800,41
sample,155900,125
sample,156000,166
cumavg,156000,456
spike,156090,60041
sample,156100,42
sample,156200,125
sample,156300,84
sample,156400,125
sample,156500,41
sample,156600,125
sample,156700,125
sample,156800,83
sample,156900,84
sample,157000,125
cumavg,157000,454
sample,157100,83
sample,157200,41
sample,157300,84
sample,157400,83
sample,157500,167
sample,157600,125
sample,157700,84
sample,157800,125
sample,157900,83
sample,158000,84
cumavg,158000,452
sample,158100,41
sample,158200,167
sample,158300,83
sample,158400,83
sample,158500,167
sample,158600,41
sample,158700,83
spike,158737,238667
sample,158800,125
spike,158883,114166
sample,158900,42
sample,159000,41
cumavg,159000,452
sample,159100,0
sample,159200,42
sample,159300,125
sample,159400,125
sample,159500,125
sample,159600,125
sample,159700,83
sample,159800,208
sample,159900,41
sample,160000,1083
cumavg,160000,450
sample,160100,167
sample,160200,83
sample,160300,125
sample,160400,83
sample,160500,125
sample,160600,83
sample,160700,167
sample,160800,166
sample,160900,84
sample,161000,166
cumavg,161000,448
sample,161100,83
sample,161200,83
sample,161300,125
sample,161400,42
sample,161500,125
sample,161600,125
sample,161700,125
sample,161800,41
sample,161900,42
sample,162000,83
cumavg,162000,445
sample,162100,42
sample,162200,42
sample,162300,0
sample,162400,42
sample,162500,42
sample,162600,41
sample,162700,42
sample,162800,83
sample,162900,125
sample,163000,125
cumavg,163000,443
sample,163100,41
sample,163200,42
sample,163300,41
sample,163400,41
sample,163500,83
sample,163600,0
sample,163700,125
sample,163800,42
sample,163900,0
sample,164000,42
cumavg,164000,441
sample,164100,0
sample,164200,0
sample,164300,42
sample,164400,42
sample,164500,0
sample,164600,42
sample,164700,42
sample,164800,41
sample,164900,41
sample,165000,42
cumavg,165000,438
sample,165100,41
sample,165200,42
sample,165300,0
sample,165400,41
spike,165454,165292
sample,165500,125
sample,165600,125
sample,165700,125
sample,165800,125
sample,165900,125
sample,166000,84
cumavg,166000,437
sample,166100,125
sample,166200,167
sample,166300,125
sample,166400,125
sample,166500,167
sample,166600,125
sample,166700,125
sample,166800,125
sample,166900,125
sample,167000,125
cumavg,167000,435
sample,167100,83
sample,167200,125
sample,167300,41
sample,167400,41
sample,167500,125
sample,167600,125
sample,167700,125
sample,167800,41
sample,167900,125
sample,168000,83
cumavg,168000,433
sample,168100,83
sample,168200,84
sample,168300,83
sample,168400,41
sample,168500,166
sample,168600,83
sample,168700,83
sample,168800,83
sample,168900,84
sample,169000,167
cumavg,169000,431
sample,169100,41
sample,169200,42
sample,169300,125
sample,169400,42
sample,169500,83
spike,169528,356833
sample,169600,208
sample,169700,83
sample,169800,125
sample,169900,125
sample,170000,250
cumavg,170000,432
sample,170100,42
sample,170200,125
sample,170300,83
sample,170400,41
sample,170500,125
sample,170600,42
sample,170700,83
spike,170725,203125
sample,170800,209
sample,170900,42
sample,171000,42
cumavg,171000,431
sample,171100,0
sample,171200,42
sample,171300,125
sample,171400,42
sample,171500,0
sample,171600,42
sample,171700,42
sample,171800,41
sample,171900,0
sample,172000,0
cumavg,172000,429
sample,172100,0
sample,172200,0
sample,172300,41
sample,172400,0
sample,172500,0
sample,172600,42
sample,172700,42
sample,172800,42
sample,172900,125
sample,173000,42
cumavg,173000,426
sample,173100,41
sample,173200,0
sample,173300,0
sample,173400,42
sample,173500,41
sample,173600,41
sample,173700,41
sample,173800,42
sample,173900,42
sample,174000,0
cumavg,174000,424
sample,174100,41
sample,174200,42
sample,174300,41
sample,174400,42
sample,174500,0
sample,174600,0
sample,174700,42
sample,174800,0
sample,174900,0
sample,175000,41
cumavg,175000,422
sample,175100,0
sample,175200,42
sample,175300,42
sample,175400,0
rehash,175448,350899
spike,175448,20091625
sample,175500,167
sample,175600,84
sample,175700,83
sample,175800,83
sample,175900,167
sample,176000,84
cumavg,176000,534
sample,176100,41
sample,176200,167
sample,176300,167
sample,176400,167
sample,176500,125
sample,176600,167
spike,176644,63333
sample,176700,125
sample,176800,0
sample,176900,42
sample,177000,0
cumavg,177000,532
sample,177100,83
sample,177200,0
sample,177300,125
sample,177400,125
sample,177500,83
sample,177600,0
sample,177700,125
sample,177800,41
sample,177900,41
sample,178000,42
cumavg,178000,530
sample,178100,42
sample,178200,166
sample,178300,41
sample,178400,25958
sample,178500,0
sample,178600,42
sample,178700,0
spike,178757,51791
sample,178800,42
sample,178900,125
sample,179000,42
cumavg,179000,528
sample,179100,42
sample,179200,0
sample,179300,83
sample,179400,42
sample,179500,42
sample,179600,0
sample,179700,42
sample,179800,41
sample,179900,41
sample,180000,83
cumavg,180000,525
sample,180100,41
sample,180200,83
spike,180262,114333
sample,180300,84
spike,180342,124958
spike,180370,102542
sample,180400,125
sample,180500,209
spike,180524,1122083
sample,180600,84
spike,180601,1449792
sample,180700,167
sample,180800,166
sample,180900,125
sample,181000,42
cumavg,181000,539
sample,181100,41
sample,181200,42
sample,181300,0
sample,181400,41
sample,181500,125
sample,181600,84
sample,181700,42
sample,181800,41
spike,181880,111083
sample,181900,42
spike,181959,136750
sample,182000,41
cumavg,182000,538
sample,182100,125
spike,182135,128958
sample,182200,125
spike,182221,448917
sample,182300,208
sample,182400,83
spike,182409,5689375
spike,182431,134750
sample,182500,83
spike,182526,131834
spike,182577,101458
sample,182600,208
sample,182700,167
sample,182800,167
sample,182900,41
sample,183000,41
cumavg,183000,572
sample,183100,42
sample,183200,83
sample,183300,125
sample,183400,0
sample,183500,83
sample,183600,125
sample,183700,0
sample,183800,42
sample,183900,42
sample,184000,41
cumavg,184000,570
sample,184100,41
sample,184200,42
sample,184300,0
sample,184400,42
sample,184500,0
sample,184600,0
sample,184700,0
sample,184800,42
sample,184900,0
sample,185000,41
cumavg,185000,567
sample,185100,42
sample,185200,83
sample,185300,41
sample,185400,42
sample,185500,42
sample,185600,0
sample,185700,0
sample,185800,125
sample,185900,42
sample,186000,42
cumavg,186000,564
sample,186100,125
sample,186200,42
sample,186300,0
sample,186400,42
sample,186500,125
sample,186600,41
sample,186700,42
sample,186800,125
sample,186900,41
sample,187000,0
cumavg,187000,562
sample,187100,83
sample,187200,41
sample,187300,125
sample,187400,41
sample,187500,125
sample,187600,42
sample,187700,83
sample,187800,42
sample,187900,84
sample,188000,42
cumavg,188000,559
sample,188100,42
sample,188200,0
sample,188300,0
sample,188400,125
sample,188500,0
sample,188600,83
sample,188700,0
sample,188800,0
sample,188900,42
sample,189000,83
cumavg,189000,557
sample,189100,41
sample,189200,0
sample,189300,84
sample,189400,41
sample,189500,83
sample,189600,83
sample,189700,83
sample,189800,0
sample,189900,125
sample,190000,83
cumavg,190000,554
sample,190100,83
sample,190200,42
sample,190300,41
sample,190400,42
sample,190500,125
sample,190600,0
sample,190700,83
sample,190800,125
sample,190900,0
sample,191000,42
cumavg,191000,552
sample,191100,42
sample,191200,83
sample,191300,125
sample,191400,84
sample,191500,83
sample,191600,42
sample,191700,84
sample,191800,41
sample,191900,84
sample,192000,41
cumavg,192000,549
sample,192100,42
sample,192200,125
sample,192300,84
sample,192400,0
sample,192500,42
sample,192600,41
sample,192700,0
sample,192800,41
sample,192900,83
sample,193000,42
cumavg,193000,546
sample,193100,125
sample,193200,0
sample,193300,41
sample,193400,83
sample,193500,0
sample,193600,42
sample,193700,84
sample,193800,125
sample,193900,42
sample,194000,125
cumavg,194000,544
sample,194100,0
sample,194200,42
sample,194300,83
sample,194400,0
sample,194500,42
sample,194600,42
sample,194700,83
sample,194800,125
sample,194900,83
sample,195000,125
cumavg,195000,541
sample,195100,42
sample,195200,83
sample,195300,125
sample,195400,167
sample,195500,0
sample,195600,42
sample,195700,83
sample,195800,42
sample,195900,41
sample,196000,42
cumavg,196000,539
sample,196100,0
sample,196200,1084
sample,196300,41
sample,196400,42
sample,196500,42
sample,196600,41
sample,196700,42
sample,196800,0
sample,196900,0
sample,197000,41
cumavg,197000,536
sample,197100,42
sample,197200,83
sample,197300,0
sample,197400,42
sample,197500,0
sample,197600,125
sample,197700,166
sample,197800,125
spike,197850,61042
sample,197900,125
sample,198000,125
cumavg,198000,535
sample,198100,208
sample,198200,167
sample,198300,166
sample,198400,125
sample,198500,167
sample,198600,167
sample,198700,125
sample,198800,42
sample,198900,209
sample,199000,125
cumavg,199000,533
sample,199100,167
sample,199200,125
sample,199300,167
sample,199400,167
sample,199500,125
sample,199600,125
sample,199700,167
sample,199800,125
sample,199900,125
