kind,i,value_ns
sample,34000,0
cumavg,34000,55
sample,34100,42
sample,34200,42
sample,34300,42
sample,34400,42
sample,34500,42
sample,34600,0
sample,34700,42
sample,34800,41
sample,34900,42
sample,35000,42
cumavg,35000,54
sample,35100,41
sample,35200,42
sample,35300,0
sample,35400,0
sample,35500,42
sample,35600,41
sample,35700,42
sample,35800,0
sample,35900,41
sample,36000,41
cumavg,36000,53
sample,36100,41
sample,36200,42
sample,36300,0
sample,36400,42
sample,36500,0
sample,36600,0
sample,36700,0
sample,36800,42
sample,36900,42
sample,37000,42
cumavg,37000,53
sample,37100,41
sample,37200,0
sample,37300,41
sample,37400,0
sample,37500,42
sample,37600,41
sample,37700,42
sample,37800,41
sample,37900,41
sample,38000,42
cumavg,38000,52
sample,38100,41
sample,38200,42
sample,38300,42
sample,38400,41
sample,38500,0
sample,38600,42
sample,38700,0
sample,38800,42
sample,38900,42
sample,39000,0
cumavg,39000,51
sample,39100,41
sample,39200,125
sample,39300,125
sample,39400,125
sample,39500,125
sample,39600,166
sample,39700,167
sample,39800,125
sample,39900,42
sample,40000,333
cumavg,40000,53
sample,40100,83
sample,40200,125
sample,40300,125
sample,40400,125
sample,40500,125
sample,40600,125
spike,40677,2716833
sample,40700,917
sample,40800,41
sample,40900,41
sample,41000,42
cumavg,41000,121
sample,41100,0
sample,41200,41
sample,41300,125
sample,41400,42
sample,41500,42
sample,41600,42
sample,41700,125
sample,41800,41
sample,41900,125
sample,42000,0
cumavg,42000,119
sample,42100,0
sample,42200,41
sample,42300,42
sample,42400,42
sample,42500,41
sample,42600,42
sample,42700,42
sample,42800,0
sample,42900,0
sample,43000,42
cumavg,43000,117
sample,43100,42
spike,43140,1303291
sample,43200,41
sample,43300,42
sample,43400,42
sample,43500,83
sample,43600,0
sample,43700,0
sample,43800,41
rehash,43854,87719
spike,43854,4004166
sample,43900,41
sample,44000,125
cumavg,44000,236
sample,44100,83
sample,44200,125
sample,44300,125
sample,44400,125
sample,44500,84
sample,44600,125
sample,44700,41
sample,44800,125
sample,44900,125
sample,45000,83
cumavg,45000,233
sample,45100,125
sample,45200,83
sample,45300,125
sample,45400,125
sample,45500,125
sample,45600,83
sample,45700,42
sample,45800,83
sample,45900,125
sample,46000,125
cumavg,46000,230
sample,46100,83
spike,46173,167750
sample,46200,125
sample,46300,125
sample,46400,125
sample,46500,83
sample,46600,83
sample,46700,42
sample,46800,41
sample,46900,83
sample,47000,42
cumavg,47000,231
sample,47100,125
spike,47121,1176083
sample,47200,42
sample,47300,125
sample,47400,41
sample,47500,0
sample,47600,0
sample,47700,42
sample,47800,42
sample,47900,41
sample,48000,0
cumavg,48000,252
sample,48100,41
sample,48200,42
sample,48300,42
sample,48400,1416
sample,48500,42
sample,48600,0
sample,48700,42
sample,48800,83
sample,48900,41
sample,49000,0
cumavg,49000,248
sample,49100,0
sample,49200,41
sample,49300,41
sample,49400,42
sample,49500,41
sample,49600,0
sample,49700,42
spike,49737,61500
sample,49800,125
spike,49824,227958
sample,49900,42
sample,50000,167
cumavg,50000,249
sample,50100,41
sample,50200,0
sample,50300,0
sample,50400,42
sample,50500,41
sample,50600,0
sample,50700,0
sample,50800,42
spike,50874,93000
sample,50900,42
sample,51000,42
cumavg,51000,247
sample,51100,0
