task,baseline_task,baseline_source,baseline_sha256,baseline_serialized_size,baseline_valid,baseline_preflight_ok,baseline_known_right,baseline_known_wrong,baseline_known_skipped,baseline_known_errors,baseline_known_total_seen,baseline_memory,baseline_params,baseline_cost,baseline_score,baseline_node_count,baseline_initializer_count,baseline_error,baseline_warnings,candidate_task,candidate_source,candidate_sha256,candidate_serialized_size,candidate_valid,candidate_preflight_ok,candidate_known_right,candidate_known_wrong,candidate_known_skipped,candidate_known_errors,candidate_known_total_seen,candidate_memory,candidate_params,candidate_cost,candidate_score,candidate_node_count,candidate_initializer_count,candidate_error,candidate_warnings,differential_requested,differential_executable,differential_raw_equal,differential_threshold_equal,differential_mismatches,differential_skipped_both_failed,differential_skipped_one_failed,differential_max_abs_difference,differential_first_mismatch_case,differential_first_mismatch_grid_shape,differential_first_mismatch_different_threshold_cells,differential_first_mismatch_raw_equal,cost_reduction,projected_gain,verdict,reasons,differential_first_mismatch
344,344,baseline,d0902dc6498525c5f62f12fc02e25fe7914afbae4a583fd77b71f8f05f08019f,1193,True,True,266,0,0,0,266,0,197,197,19.716796271262012,1,5,,"[""IR version is 7; competition baseline often uses 10""]",344,candidate,e980db3f1083e1edecd9b10ca19b7483103db0fc3b8d535a1c1e2248d57672b0,1116,True,True,266,0,0,0,266,0,191,191,19.747726571953372,1,5,,"[""IR version is 7; competition baseline often uses 10""]",500,500,0,68,432,0,0,255759.09375,0,"[14,22]",478,False,6,0.03093030069135949,ACCEPT_STRICT,[],
379,379,baseline,70a1ddaf15510384e8b4d88d1420e9639de9e36b1775468386216a2f723d0750,4596,True,True,266,0,0,0,266,1570,381,1951,17.42390265937689,68,29,,[],379,candidate,4ddae903db9b2d4aceef3c501691b5cd2b862bc209f58f2e88969332c06dd455,4603,True,True,266,0,0,0,266,1570,379,1949,17.42492830049244,68,30,,[],500,499,499,499,0,1,0,0.0,,,,,2,0.0010256411155502576,ACCEPT_STRICT,[],
