rank,task,hash,cost,score,archetype
120,task185,7837ac64,647,18.5277,create_linegrid|diagonally_connected
121,task377,eb5a1d5d,646,18.5292,
122,task093,4093f84a,631,18.5527,random_pixels|transpose
123,task048,239be575,622,18.5671,overlaps|random_pixels
124,task218,90c28cc7,614,18.5800,
125,task283,b6afb2da,605,18.5948,transpose
126,task168,6e19193c,600,18.6031,
127,task237,99fa7670,587,18.6250,
128,task068,31aa019c,584,18.6301,
129,task134,5ad4f10b,582,18.6335,conway_sprite|random_pixels
130,task159,6b9890af,568,18.6579,conway_sprite|diagonally_connected
131,task328,d22278a0,562,18.6685,
132,task062,2bcee788,553,18.6846,flip_horiz|transpose
133,task394,f9012d9b,551,18.6883,
134,task174,72ca375d,548,18.6937,continuous_creature|overlaps
135,task345,d9f24cd1,547,18.6956,
136,task160,6c434453,538,18.7121,get_pixel
137,task034,1f0c79e5,532,18.7234,
138,task042,22233c11,526,18.7347,draw
139,task036,1f85a75f,507,18.7715,connected|random_pixels
140,task014,0b148d64,505,18.7754,random_pixels
141,task099,444801d8,455,18.8797,
142,task226,941d9a10,448,18.8952,
143,task342,d89b689b,447,18.8974,
144,task325,d0f5fe59,445,18.9019,continuous_creature|overlaps
145,task239,9af7a82c,443,18.9064,
146,task355,de1cd16c,426,18.9456,all_pixels
147,task084,3bd67248,425,18.9479,
148,task031,1cf80156,418,18.9645,
149,task228,952a094c,413,18.9766,
150,task294,bb43febb,411,18.9814,apply_gravity
151,task105,4612dd53,405,18.9961,
152,task225,93b581b8,401,19.0060,draw
153,task200,8403a5d5,399,19.0110,
154,task088,3de23699,395,19.0211,all_pixels
155,task124,53b68214,395,19.0211,conway_sprite|draw
156,task295,bbc9ae5d,393,19.0262,
157,task055,272f95fa,391,19.0313,
158,task119,508bd3b6,390,19.0339,apply_gravity
159,task392,f8c80d96,386,19.0442,draw
160,task030,1caeab9d,381,19.0572,all_pixels|diagonally_connected
161,task148,673ef223,380,19.0598,flip_horiz
162,task206,88a10436,375,19.0731,connected|conway_sprite
163,task178,746b3537,373,19.0784,transpose
164,task079,39a8645d,368,19.0919,conway_sprite|diagonally_connected|overlaps
165,task369,e8593010,362,19.1084,
166,task064,2c608aff,359,19.1167,random_pixels
167,task278,b27ca6d3,358,19.1195,draw|get_pixel|random_pixels|remove_neighbors
168,task051,25d487eb,356,19.1251,apply_gravity
169,task290,b94a9452,355,19.1279,
170,task181,760b3cac,350,19.1421,connected|conway_sprite|flip_horiz
171,task221,91413438,349,19.1449,all_pixels
172,task071,3345333e,345,19.1565,continuous_creature|flip_horiz
173,task304,c3e719e8,339,19.1740,square_with_unique_max_color
174,task388,f5b8619d,327,19.2100,all_pixels
175,task195,80af3007,325,19.2162,conway_sprite
176,task384,f25fbde4,322,19.2254,all_pixels|diagonally_connected
177,task189,7c008303,313,19.2538,flip_horiz|random_pixels
178,task143,63613498,304,19.2830,continuous_creature|overlaps
179,task199,834ec97d,304,19.2830,
180,task316,cdecee7f,296,19.3096,
181,task358,e21d9049,292,19.3232,flip_horiz
182,task190,7ddcd7ec,291,19.3267,
183,task081,3aa6fb7a,288,19.3370,has_neighbor
184,task183,77fdfe62,281,19.3616,random_pixels
185,task151,67a423a3,280,19.3652,transpose
186,task240,9d9215db,279,19.3688,flip_horiz
187,task065,2dc579da,274,19.3869,
188,task357,e179c5f4,271,19.3979,bounce
189,task123,539a4f51,269,19.4053,
190,task004,025d127b,268,19.4090,
191,task126,54d82841,266,19.4165,
192,task300,be94b721,266,19.4165,continuous_creature|overlaps
193,task085,3bdb4ada,262,19.4317,
194,task259,a740d043,262,19.4317,hollow_conway
195,task263,a87f7484,261,19.4355,conway_sprite|transpose
196,task282,b60334d2,261,19.4355,overlaps
197,task153,681b3aeb,259,19.4432,continuous_creature|diagonally_connected
198,task220,913fb3ed,258,19.4470,overlaps
199,task212,8d510a79,248,19.4866,
